speaker,speaker_id,コンテンツ数
ロバート・ウォールディンガー,311,1
ジェイソン・デカイレス・テイラー,312,1
ロドリゴ・ビジュー,313,1
ジェーン・フォンダ、リリー・トムリン,314,1
アリソン・キリング,315,2
ルシアン･ウォーコウィッチ,316,2
ポール・グリーンバーグ,317,1
レイモンド・ワン,318,1
ダニット・ペレグ,319,1
ジャダイダ・アイスラー,320,2
浅川智恵子,321,1
ジェシカ・ショートル,322,1
マリーナ・アブラモヴィッチ,323,1
レジーナ･ハートリー,324,1
アン・モーガン,325,1
ジュヌヴィエーヴ・フォン・ペツィンガー,326,1
カール･サフィーナ,327,1
アノテ・トン,328,1
チェルシー・シールズ,329,1
アンドレアス・エクストローム,330,1
ジョシュ・ルーバー,331,1
ジェニ・チャン、リサ・ダゾルス,332,1
カーキ・キング,333,2
ハラルド・ハース,334,2
パトリシア・メディチ,335,1
メリッサ・フレミング,336,2
ナンシー・ルブリン,337,2
ダニエル・レヴィティン,338,1
マティアス・ユード,339,1
クリスティーン・サン・キム,340,1
原田セザール実,341,2
ヒラリー・コッタム,342,1
フランチェスコ・サウロ,343,1
トム・アグロ―,344,1
ジェニファー・ダウドナ,345,1
メクリト・ハデロ,346,1
ウィル・ポッター,347,2
アンダース・フィエルベルク,348,1
アリソン・マッグレガー,349,1
ヴィージェイ・クーマー,350,2
マイケル・グリーン,351,3
サンドリン・チュレ,352,1
ネリ・オックスマン,353,1
シッダールタ・ムカジー,354,1
アリス・ボウズ＝ラーキン,355,1
エミリー・ワプニック,356,1
マーティン・ピストリウス,357,1
マック･ストーン,358,1
タイエ・セラシ,359,1
サミュエル・コーエン,360,1
ロビン・モーガン,361,1
メアリー・ロビンソン,362,1
フランシス・ラーソン,363,1
サケナ・ヤクービ,364,1
スコット・ディンズモア,365,1
マイケル・キンメル,366,1
ミア・バードソング,367,1
デヴィッド・ロスコフ,368,1
ビリー・ジーン・キング,369,1
BJ・ミラー,370,1
バリー・シュワルツ,371,2
アラン・ユースタス,372,1
ジム・サイモンズ,373,1
ジェイミー・バートレット,374,1
エリザベス・ニャマヤロ,375,1
ウェンディ・フリードマン,376,1
イブ・モリュー,377,2
ロビン・マーフィー,378,1
セス・バークレー,379,2
ジム・アルカリリ,380,1
ダスティン・イェリン,381,1
トニー・ウィス=コレイ,382,1
マニュエル・リマ,383,1
アリックス・ジェネラス,384,1
ペイシェンス・ムトゥンジ,385,1
リッチ・ベンジャミン,386,1
ベネデッタ・ベルティ,387,1
ユバル・ノア・ハラーリ,388,1
ジョン・グリーン,389,1
アラー・ムラビット,390,1
